上架日期                 申請人數                 產業                                                                                                                                                                                                                                                               公司名稱                                                                                                                                                                                                                                                             description                                                                                                                                                                                                                                                      縣市                                                                                                                                                                                                                                                               職稱                                                                                                                                                                                                                                                               工作編號                 工作型態                 經度                     緯度                     major                                                                                                                                                                                                                                                            學歷要求                                                                                                                                                                                                                                                             是否遠距                 薪資上限                 薪資下限                 工作時段                                                                                                                                                                                                                                                             職務分類代碼                                                                                                                                                                                                                                                           是否積極徵才
-------------------- -------------------- ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- -------------------- -------------------- ---------------------- ---------------------- ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- -------------------- -------------------- -------------------- ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- ------
20250707             14                   人力仲介代徵                                                                                                                                                                                                                                                           萬寶華企業管理顧問股份有限公司                                                                                                                                                                                                                                                  【The Business 】
WTW’s  Regards Data Intelligence is a leading provider of compensation, benefit and employment practice information to the global employer community. Our databases are recognized worldwide as a premier source of current data for compensatio 台北市                                                                                                                                                                                                                                                              美商顧問業_Rewards Data Intelligence Analyst_歡迎對人資&數據分析有興趣的應屆畢業生加入!_115PC                                                                                                                                                                                             14095203             0                    25.0405444             121.5667909            []                                                                                                                                                                                                                                                               [4, 5, 6]                                                                                                                                                                                                                                                        0                    0                    0                    09:00-18:00                                                                                                                                                                                                                                                      [2001002002, 2004001010, 2007001018]                                                                                                                                                                                                                             1
20250703             6                    其他專業／科學及技術業                                                                                                                                                                                                                                                      國家資通安全研究院                                                                                                                                                                                                                                                        1. 設計並實作資料處理流程(ETL/ELT)，確保資料的準確性與一致性，支援後續的數據分析與應用
2. 管理關聯式與非關聯式資料庫系統，進行效能調校與查詢最佳化
3. 與跨領域團隊合作，提供資料支援並共同設計數據驅動解決方案
4. 支援開發自動                                                                                                                                      台南市                                                                                                                                                                                                                                                              【前瞻研究籌獲中心】資料工程師(台南)                                                                                                                                                                                                                                              14723361             2                    22.9519268             120.2858846            ['資訊工程相關', '資訊管理相關', '電機電子工程相關']                                                                                                                                                                                                                                 [4, 5, 6]                                                                                                                                                                                                                                                        0                    0                    0                    NULL                                                                                                                                                                                                                                                             [2007001022, 2007001021, 2007001018]                                                                                                                                                                                                                             0
20250707             29                   百貨相關業                                                                                                                                                                                                                                                            富邦媒體科技股份有限公司(富邦momo)                                                                                                                                                                                                                                             我們正在尋找一位專注於數據洞察與產出決策建議的數據分析師，加入我們的數據應用團隊。這個角色將運用數據分析技術和方法，提供深入的見解，並推動產品面、業務面的數據決策，提升團隊與公司的競爭力和運營效率。

主要職責
1. 數據定義管理：包含初始規劃                                                                                                                                       台北市                                                                                                                                                                                                                                                              J1000 【數據發展部】數據分析師                                                                                                                                                                                                                                               14401031             2                    25.0797968             121.5709573            []                                                                                                                                                                                                                                                               [4, 5]                                                                                                                                                                                                                                                           0                    0                    0                    09:00~18:00                                                                                                                                                                                                                                                      [2004001010, 2016001007]                                                                                                                                                                                                                                         0
20250710             6                    IC設計相關業                                                                                                                                                                                                                                                          威盛電子股份有限公司                                                                                                                                                                                                                                                       We are seeking a skilled and experienced Data Analyst (Marketing) with 3-5 years of expertise in data analysis and marketing analytics. The ideal candidate will be responsible for collecting, cleaning, analyzing, and visualizing marketing data to provide a 新北市                                                                                                                                                                                                                                                              Marketing Specialist- Data Analytics                                                                                                                                                                                                                             14286748             2                    24.978282              121.5394822            ['商業及管理學科類', '數學及電算機科學學科類']                                                                                                                                                                                                                                      [4, 5]                                                                                                                                                                                                                                                           0                    0                    0                    NULL                                                                                                                                                                                                                                                             [2007001018, 2004001010, 2004001007]                                                                                                                                                                                                                             1
20250708             29                   電腦軟體服務業                                                                                                                                                                                                                                                          寶辰科技有限公司                                                                                                                                                                                                                                                         1.分析市場熱度與趨勢，提供決策依據以掌握用戶關注焦點
2.探索用戶轉化路徑，協助識別流程瓶頸並提出優化建議
3.追蹤用戶留存與流失行為，分析關鍵影響因素以提升留存率
4.研究用戶交易行為，挖掘潛在需求並提升營收機會
5.將分析結果應用於產品與行銷策略優化，強化整體營運表現                                                                                                                        台北市                                                                                                                                                                                                                                                              數據分析師                                                                                                                                                                                                                                                            14627534             0                    25.0689422             121.5909027            []                                                                                                                                                                                                                                                               [4, 5, 6]                                                                                                                                                                                                                                                        0                    0                    0                    NULL                                                                                                                                                                                                                                                             [2007001018, 2007001021, 2004001010]                                                                                                                                                                                                                             1
20250709             10                   旅館業                                                                                                                                                                                                                                                              雀客國際酒店股份有限公司                                                                                                                                                                                                                                                     我們正在尋找一位具有Looker Studio 數據分析專業、熟悉網站營運與數位行銷，並能與研發部門協作的產品經理。此職位將負責整合數據洞察，協助優化官網營運策略，並推動AI工具的應用，以提升整體營運效能。

主要職責:

【網站數據追蹤與分析】                                                                                                                                      台北市                                                                                                                                                                                                                                                              《市場營銷處》數據產品經理（Data Product Manager）/網站營運 × 數據分析 × AI應用                                                                                                                                                                                                           14709068             0                    25.0517136             121.5356275            ['市場行銷相關', '資訊工程相關', '資訊管理相關']                                                                                                                                                                                                                                   [4]                                                                                                                                                                                                                                                              0                    0                    0                    NULL                                                                                                                                                                                                                                                             [2004003005, 2004003002]                                                                                                                                                                                                                                         1
20250707             9                    銀行業                                                                                                                                                                                                                                                              玉山銀行_玉山商業銀行股份有限公司                                                                                                                                                                                                                                                1. 設計開發提供分行端使用之績效管理、業務行銷儀錶板，及後端數據資料庫串接
2. 維運現行架上儀表板資料正確無誤，及因應分行建議提供新功能版位開發
3. 數據資料清洗與驗證，確保所用資料正確精準
4. 提供各專案及業務發展之數據「分析」與「洞察」

